Bay Beach Cape Paterson,Bay Beach Cape Paterson,secretary@wlsc.org.au,Wonthaggi LSC,,03 5674 4720,Bass District,3995,VIC,,
Woolamai Beach Road,Woolamai,secretary@woolamaibeach.asn.au,Woolamai Beach SLSC,,03 5956 7311,Bass District,3925,VIC,www.woolamaibeach.asn.au,
,,,Bayside District,,,Life Saving Victoria,,Unknown,,
Beach Road,Beaumaris,blscsecretary@gmail.com,Beaumaris LSC,,03 9589 3377,Bayside District,3193,VIC,www.beaumarislifesavingclub.org,
Beach Road (near Clock Tower),Black Rock,brlscpres@gmail.com,Black Rock LSC,,03 9598 9571,Bayside District,3193,VIC,www.brlsc.org.au,
The Esplanade (opposite Keith Court),Middle Brighton,secretary@brightonlsc.com.au,Brighton LSC Inc (VIC),,,Bayside District,3186,VIC,www.brightonlsc.com.au,
Beach Road,Half Moon Bay,petejane@netspace.net.au,Half Moon Bay SLSC,,03 9598 0399,Bayside District,3193,VIC,www.halfmoonbayslsc.com.au,
Beach Road (250M North of Small St),Hampton,info@hlsc.org.au,Hampton LSC,,03 9598 0600,Bayside District,3188,VIC,www.hlsc.org.au,
Beach Road,Sandringham,president@sandringhamlsc.com.au,Sandringham LSC,,03 9598 2340,Bayside District,3191,VIC,,
,,,Bellarine District,,,Life Saving Victoria,,Unknown,,
Breamlea Road,Bancoora Beach,enquiries@bancoora.asn.au,Bancoora SLSC,,03 5264 1248,Bellarine District,3227,VIC,www.bancoora.asn.au,
13th Beach Rd,Point Flinders,committee@13thbeachslsc.asn.au,Barwon Heads 13th Beach SLSC,,03 5254 2469,Bellarine District,3227,VIC,www.13thbeachslsc.asn.au,
Surf Beach Road,Ocean Grove,honsecretary@oceangroveslsc.asn.au,Ocean Grove SLSC,,03 5255 1382,Bellarine District,3226,VIC,www.oceangroveslsc.asn.au,
,,,Community Branch(WA),,,Surf Life Saving Western Australia,,WA,,
,,,Community NSW Branch,,,Surf Life Saving New South Wales,,NSW,,
18 Banksia Street,,branch.slsfnc@gmail.com,Far North Coast Branch,,,Surf Life Saving New South Wales,2473,NSW,www.slsfnc.com.au,
65 Lighthouse Parade,Shelly,ballinaslsc@gmail.com,Ballina Lighthouse and Lismore SLSC,,0410611058,Far North Coast Branch,2478,NSW,www.ballinasurfclub.com.au,
South Beach Road,Brunswick Heads,admin@brunswickslsc.org,Brunswick SLSC,0266851273,0266851273,Far North Coast Branch,2483,NSW,www.brunswickslsc.org,
Bay Street,Main Beach (Byron Bay),bbslsc@hotmail.com,Byron Bay SLSC,02 6685 8518,02 6685 6253,Far North Coast Branch,2481,NSW,www.byronbaysurfclub.com.au,
Pandanus Parade,Bogangar/Cabarita,secretary@cabaslsc.org.au,Cabarita Beach SLSC,02 66760944,02 66761551,Far North Coast Branch,2488,NSW,www.cabaslsc.org.au,
61 Marine Parade,Dreamtime/Kingscliff/Cudgen,admin@cudgenslsc.org.au,Cudgen Headland SLSC,02 66743388,02 66741573,Far North Coast Branch,2487,NSW,www.cudgenslsc.org.au,
1 Captain Cook Drive,Evans Head,evanssurflifesaving@bigpond.com,Evans Head-Casino SLSC inc.,,02-66824277,Far North Coast Branch,2473,NSW,www.evanssurf.org.au,
Cnr Prince St and Marine Parade,Letitia Spit,secretary@fingalroversslsc.com.au,Fingal Rovers SLSC,,0401 997 621,Far North Coast Branch,2487,NSW,www.fingalroversslsc.com.au,
Pacific Pde,Seven Mile Beach/Lennox Head,lennoxsurfclub@bigpond.com,Lennox Head - Alstonville SLSC,,0266877380,Far North Coast Branch,2478,NSW,www.lennoxsurfclub.com.au,
Bells Boulevard- Salt Village,BOGANGAR/CABARITA,secretary@saltsurfclub.com.au,Salt SLSC,,0432483206,Far North Coast Branch,2487,NSW,www.saltsurfclub.com.au,
1 Marine Parade,Yamba Beach,office@yambaslsc.com.au,Yamba SLSC Inc,0266458648,0266462463,Far North Coast Branch,2464,NSW,www.yambaslsc.com.au,
,,doafscsls@gmail.com,Far South Coast Branch,,0401361822,Surf Life Saving New South Wales,,Unknown,,
George Bass Drive,Malua Bay,bbslsc.president@gmail.com,Batemans Bay SLSC,,0408603750,Far South Coast Branch,2536,NSW,www.batemansbayslsc.org.au,
Lamont Street,Horseshoe Bay,bermisurfclub@gmail.com,Bermagui SLSC,,,Far South Coast Branch,2546,NSW,www.bermaguisls.org.au,
Off The Southern End of Heath Street,Bengello Beach(South Broulee/South),brosslsc@bigpond.net.au,Broulee Surfers SLSC,,0244716657,Far South Coast Branch,2537,NSW,brouleesurfersslsc.org.au,
Coronation Drive,Moruya (Heads) Beach,president@moruyasurf.org.au,Moruya SLSC,,02 4474 2674,Far South Coast Branch,2537,NSW,www.moruyasurf.org.au,
Ballingalla St,Narooma Beach,naroomasurf@yahoo.com.au,Narooma SLSC,,02 4476 1745,Far South Coast Branch,2546,NSW,www.naroomasurfclub.org.au,
Pambula Beach Road,Pambula Beach,secretary@pambulasurf.org.au,Pambula SLSC,,02 64956224,Far South Coast Branch,2549,NSW,www.pambulasurf.org.au,
ANDY POOLE DRIVE,Tathra Beach,tathraslsc@hotmail.com,Tathra SLSC,,02 6494 1588,Far South Coast Branch,2550,NSW,www.tathrasurfclub.com.au,
,,,Flinders District,,,Life Saving Victoria,,Unknown,,
Truemans Road,Gunnamatta,info@gunnamattaslsc.com.au,Gunnamatta SLSC,,03 5988 6330,Flinders District,,VIC,www.gunnamattaslsc.com.au,
Western Parade,Point Leo Surf,admin@pointleoslsc.com.au,Point Leo SLSC,,,Flinders District,3916,VIC,www.pointleoslsc.com.au,
Portsea Ocean Beach,Portsea (Back),contact@portseasurf.com.au,Portsea SLSC,,0423697734,Flinders District,3944,VIC,www.portseasurf.com.au,
250 Ocean Bech Road,Sorrento Ocean (Back),lifesaving@sorrentoslsc.com,Sorrento SLSC (VIC),,,Flinders District,3943,VIC,www.sorrentoslsc.com,
,,,Gippsland District,,,Life Saving Victoria,,Unknown,,
The Hummocks Main Beach (Cunninghame Arm Bridge),Eastern,info@lakesentrancesurflifesaving.org.au,Lakes Entrance SLSC,,,Gippsland District,3909,VIC,www.lakesentrancesurflifesaving.org.au,
Lees Road (SES Shed),Main - Bastion Point,warren.jennifer.c@edumail.vic.gov.au,Mallacoota SLSC,,03 5158 0254,Gippsland District,3892,VIC,,
Foreshore Road / Lyon Street,Seaspray,graceduffield@ymail.com,Seaspray SLSC,03 5144 3416,,Gippsland District,3851,VIC,www.seasprayslsc.com,
Ben Rendell Drive / Woodside Beach Road,Woodside,ollies@wideband.net.au,Woodside Beach SLSC,,03 5187 1246,Gippsland District,3874,VIC,www.wbslsc.com,
,,,Gold Coast City Council ALS (Lifeguards),,,Surf Life Saving Queensland,,QLD,,
1/6 Revelation Close,,info@hsls.org.au,Hunter Surf LIfe Saving,,02 4961 4533,Surf Life Saving New South Wales,2297,NSW,www.hsls.org.au,
73 James Paterson Street,Birubi Point,birubisecretary@gmail.com,Birubi Point SLSC,,0249819944,Hunter Surf LIfe Saving,2316,NSW,www.birubipointslsc.org.au,
Flowers Drive,Middle Camp Beach,info@cathoslsc.org.au,Catherine Hill Bay SLSC,,02 4976 1217,Hunter Surf LIfe Saving,2281,NSW,www.cathoslsc.org.au,
131 Caves Beach Road,Caves Beach,rossbowmaker@bigpond.com,Caves Beach SLSC,0249715540,0249711667,Hunter Surf LIfe Saving,2281,NSW,www.cavesslsc.com.au,
Memorial Drive,Bar Beach,enquiries@cookshillsurfclub.com.au,Cooks Hill SLSC,,02 4925 2828,Hunter Surf LIfe Saving,2300,NSW,www.cookshillsurfclub.com.au,
Ocean Street,Dixon Beach,peter.brown@mn.catholic.edu.au,Dixon Park SLSC,,024926 2422,Hunter Surf LIfe Saving,2291,NSW,www.dixonslsc.com,
3 Marine Drive,Fingal Beach,bmw@skymesh.com.au,Fingal Beach SLSC,,0413089131,Hunter Surf LIfe Saving,2315,NSW,www.fingalbeachslsc.com,
Cnr John Parade and Watkins Street,Merewether Beach,mslsc.secretary@gmail.com,Merewether SLSC,,0249637972,Hunter Surf LIfe Saving,2291,NSW,www.merewetherslsc.com.au,
Shortland Esplanade,Newcastle Beach,sarah.elliott463@gmail.com,Newcastle SLSC,,024926 4176,Hunter Surf LIfe Saving,2300,NSW,www.newcastleslsc.com.au,
Cnr Nobbys Road and Shortland Esplanade,Nobbys Beach,blicks3@bigpond.com,Nobbys SLSC (NSW),,,Hunter Surf LIfe Saving,2300,NSW,www.nobbysslsc.org.au,
Beach Road,Redhead Beach,redheads@redheadslsc.com,Redhead SLSC,,02 4942 6633,Hunter Surf LIfe Saving,2290,NSW,www.redheadslsc.com,
Pitt Street,Stockton Beach,stocktonsurf@bigpond.com.au,Stockton SLSC,,02 4928 3562,Hunter Surf LIfe Saving,2295,NSW,www.stocktonsurfclub.com,
Ungala Road,Blacksmiths Beach,swanseabelmont@bigpond.com,Swansea Belmont SLSC,0249721643,0249721642,Hunter Surf LIfe Saving,2281,NSW,www.swanseabelmont.com,
117 Booner Street - Cnr Bennett St,Bennetts,maxinecook1210@yahoo.com.au,Tea Gardens Hawks Nest SLSC,,,Hunter Surf LIfe Saving,2324,NSW,www.teagardenshawksnestslsc.com,
,,,Kingston District,,,Life Saving Victoria,,Unknown,,
Groves Street,Aspendale,aspendalelsc@hotmail.com,Aspendale LSC,,03 9587 2474,Kingston District,3195,VIC,http://aspendalelsc.com.au/,
Beach Reserve- Lord Weaver Grove,Bonbeach,secretary@bonbeachlsc.com.au,Bonbeach LSC,,0397760810,Kingston District,3196,VIC,www.bonbeachlsc.com.au,
15 Old Post Office Lane,Carrum,Info@carrumslsc.com,Carrum SLSC,,03 9776 0504,Kingston District,3197,VIC,www.carrumslsc.com,
The Strand,Chelsea,clslsc.secretary@gmail.com,Chelsea Longbeach SLSC,,03 9772 3029,Kingston District,3196,VIC,www.chelseaslsc.com,
The Esplanade,Edithvale,secretary_elsc@hotmail.com,Edithvale LSC,,03 9772 3968,Kingston District,3196,VIC,www.edithvalelsc.com.au,
Beach Road Opposite Kitchener Street,Mentone,membershipmlsc@gmail.com,Mentone LSC,,,Kingston District,3194,VIC,www.mentonelsc.com,
Beach Road,Mordialloc,info@mlsc.com.au,Mordialloc LSC,,03 9580 6264,Kingston District,3195,VIC,www.mlsc.com.au,
,,,Life Saving Victoria Academy Branch,,,Life Saving Victoria,,VIC,,
200 The Boulevard,,,Life Saving Victoria Academy,03 9681 8211,03 9676 6900,Life Saving Victoria Academy Branch,3207,VIC,,
,,admin@slslnc.org.au,Lower North Coast Branch Inc.,,,Surf Life Saving New South Wales,2428,NSW,www.slslnc.org.au,
Main St,Black Head Beach,administration@blackheadslsc.com.au,Black Head SLSC Inc.,,0265592737,Lower North Coast Branch Inc.,2430,NSW,http:www.blackheadslsc.com.au,
Palmgrove Place- One Mile Beach,One Mile Beach,peter.mctiernan@bigpond.com,Cape Hawke SLSC (Inc),6555 5822,6555 5822,Lower North Coast Branch Inc.,2428,NSW,wwww.capehawkeslsc.org.au,
559 Crowdy Head Road,Crowdy Beach,admin@crowdyheadslsc.org.au,Crowdy Head SLSC Inc,,0265561325,Lower North Coast Branch Inc.,2427,NSW,www.crowdyheadslsc.org.au,
Cnr Beach and North Street,Forster Beach,admin@forsterslsc.com,Forster SLSC,,,Lower North Coast Branch Inc.,2428,NSW,forsterslsc.com,
Lakeside Crescent,Elizabeth,administration@pacificpalmsslsc.org.au,Pacific Palms SLSC,,02 6554 0468,Lower North Coast Branch Inc.,2428,NSW,www.PacificPalmsSLSC.org.au,
Old Bar Road,Old Bar,president@tareeoldbarsurfclub.com.au,Taree Old Bar SLSC,,,Lower North Coast Branch Inc.,2430,NSW,www.tareeoldbarsurfclub.com.au,
,,,Magenta Lifeguard Service (Lifeguards),,,Surf Life Saving New South Wales,,NSW,,
,,,Misc NT Clubs,,,Surf Life Saving Northern Territory,,NT,,
Lot 9316 Daribah Road,Casuarina Beach,darwinslsc@iinet.net.au,Darwin SLSC,,0889450447,Misc NT Clubs,0810,NT,www.darwinsurfclub.com.au,
Town Beach,Gadalathami/Town,admin@goveslsc.org,Gove Peninsula SLSC,,0889872589,Misc NT Clubs,0880,NT,http://goveslsc.org,
Maria Liveris Drive,Mindil Beach,danny.salfus@bigpond.com,Mindil Beach SLSC,,,Misc NT Clubs,0820,NT,https://sites.google.com/site/mindilbeachsurflifesavingclub/home,
,Yirrkala,tutinia@miwatj.com.au,Walngawu Djakamirri SLSC,,,Misc NT Clubs,0880,NT,,
,,,Misc SA Clubs,,,Surf Life Saving South Australia Inc,,SA,,
Norman Rd,Adlinga,abslsc.secretary@gmail.com,Aldinga Bay SLSC,,8556 3178,Misc SA Clubs,5173,SA,www.Aldingabayslsc.com.au,
Millicent Road,,mlmillard@me.com,Beachport Surf Life Saving Service,08 8735 8309,08 8735 8029,Misc SA Clubs,5280,SA,,
The Esplanade,Brighton,info@brightonsurfclub.com,Brighton SLSC (SA),,,Misc SA Clubs,5048,SA,www.brightonsurfclub.com,
Hindmarsh Esplanade,Boomer-Chiton Rocks,chitonrocks@gmail.com,Chiton Rocks SLSC,,,Misc SA Clubs,5211,SA,http://www.chitonrocks.com,
Esplanade,Christies Beach,cbeachlc@sa.chariot.net.au,Christies Beach SLSC,0883268969,088346445,Misc SA Clubs,5165,SA,www.christiesbeachslsc.com.au,
The Foreshore,Glenelg,secretary@glenelgslsc.com.au,Glenelg SLSC,,82956165,Misc SA Clubs,5045,SA,www.glenelgslsc.com.au,
Beach Road,Goolwa,goolwasls@hotmail.com,Goolwa SLSC,,,Misc SA Clubs,5214,SA,http://www.goolwaslsc.com.au/,
497 Esplanade,Grange,mail@grangeslsc.asn.au,Grange SLSC,,,Misc SA Clubs,5022,SA,www.grangeslsc.asn.au,
246 The Esplanade,Henley,info@henleyslsc.com.au,Henley SLSC,,,Misc SA Clubs,5022,SA,www.henleyslsc.com.au,
46 Penola Road,,lyn.mclachlan@stjohnsa.com.au,Lower South East Surf Life Saving Service,,,Misc SA Clubs,5290,SA,,
The Esplanade,Moana,secretary@moanaslsc.com.au,Moana SLSC,08 8386 0864,08 8386 0873,Misc SA Clubs,5169,SA,www.moanaslsc.com.au,
Beachfront- Jetty Road,Normanville,info@normanvilleslsc.org.au,Normanville SLSC,,0885582699,Misc SA Clubs,5204,SA,www.normanvilleslsc.org.au,
44 Australia II Drive,North Haven,general@northhavenslsc.com.au,North Haven SLSC,,,Misc SA Clubs,5018,SA,www.northhavenslsc.com.au,
Horseshoe Bay,Port Elliot,peslsc01@bigpond.net.au,Port Elliot SLSC,,08 8554 3155,Misc SA Clubs,5212,SA,www.portelliotslsc.com.au,
cnr Saltfleet St and Esplanade,Port Noarlunga,secretary.pnslsc@live.com.au,Port Noarlunga SLSC,,0883821376,Misc SA Clubs,5167,SA,pnslsc.com.au,
,,sally@robehouse.com.au,Robe Surf Life Saving Club Inc.,,,Misc SA Clubs,,SA,,
248 Esplanade,Seacliff,gsmyth52@hotmail.com,Seacliff SLSC,,,Misc SA Clubs,5049,SA,www.seacliffslsc.com.au,
Point Malcolm Reserve- Military Rd,Semaphore,sslsc@bigpond.net.au,Semaphore SLSC,,0884498088,Misc SA Clubs,5019,SA,www.semaphoreslsc.com.au,
Cnr Repton Road and Esplanade,Somerton,info@somertonslsc.org.au,Somerton SLSC,08 8377 4935,08 8298 7112,Misc SA Clubs,5044,SA,www.somertonslsc.org.au,
Weatherald Terrace,South Port,mail@southportslsc.org.au,South Port SLSC Inc (SA),,,Misc SA Clubs,5167,SA,www.southportslsc.org.au/,
Corner Seaview and West Beach Roads,West Beach,secretary@westbeachslsc.com.au,West Beach SLSC,,8353 8408,Misc SA Clubs,5024,SA,www.westbeachslsc.com.au,
Whyalla Foreshore,Whyalla,su49344@bigpond.net.au,Whyalla SLSC,0886453499,0886453499,Misc SA Clubs,5600,SA,,
,,,Misc TAS Clubs,,,Surf Life Saving Tasmania,,TAS,,
41 Foster Street,Bicheno,bslclub@hotmail.com,Bicheno SLSC,,,Misc TAS Clubs,7215,TAS,,
Port Road,Boat Harbour,boatharbour@slst.asn.au,Boat Harbour Beach SLSC,,,Misc TAS Clubs,7321,TAS,,
Goftons Beach,Goftons Beach,secretary@bridportslsc.org.au,Bridport SLSC,,,Misc TAS Clubs,7262,TAS,www.bridportslsc.org.au,
West Beach,West Beach,secretary@burnieslsc.org.au,Burnie SLSC,,03 6431 2697,Misc TAS Clubs,7320,TAS,www.burnieslsc.org.au,
1 Raprinner Street,Carlton Beach,carltonpark@slst.asn.au,Carlton Park SLSC,,03 62658102,Misc TAS Clubs,7173,TAS,http://www.carltonparkslsc.com.au/,
Clifton Beach Road,Clifton Beach,cliftonbeachslsc@gmail.com,Clifton Beach SLSC,,03 62489 999,Misc TAS Clubs,7020,TAS,www.cliftonbeachslsc.com.au,
39 Bluff Road (Box 157),Bluff Beach,mail@devonportsurfclub.asn.au,Devonport SLSC,,036424 6797,Misc TAS Clubs,7310,TAS,www.devonportsurfclub.asn.au,
25A Osbourne Esplanade,Kingston Beach,kingstonbeachslsc@gmail.com,Kingston Beach SLSC,,,Misc TAS Clubs,7050,TAS,www.kingstonbeachslsc.com.au,
Trevallyn Dam,Trevalyn Dam,launcestonslsc@slst.asn.au,Launceston SLSC Inc,6327 3773,6348 7590,Misc TAS Clubs,7250,TAS,,
Preservation Drive,Preservation Bay,penguinlifesaving@bigpond.com,Penguin SLSC,,0364372639,Misc TAS Clubs,7316,TAS,,
Freers Beach,Port Sorell,portsorellslc@bigpond.com,Port Sorell SLSC,,03 64286 324,Misc TAS Clubs,7307,TAS,http://www.portsorellsurflifesavingclub.com.au/,
Dune Street,Wrinklers Beach,sallyy@skymesh.com.au,Scamander SLSC,,0363722966,Misc TAS Clubs,7215,TAS,,
Esplanade,Somerset Beach,somersetslsc@slst.asn.au,Somerset SLSC,,03 6435 1627,Misc TAS Clubs,7322,TAS,,
Beach Road,Buttons Beach,ulverstone@slst.asn.au,Ulverstone SLSC,,0364252404,Misc TAS Clubs,7315,TAS,www.ulverstoneslsc.org,
,,,Misc VIC Clubs,,,Life Saving Victoria,,VIC,,
,,ithelp@slsa.asn.au,Test Vic Club,,(02) 92158111,Misc VIC Clubs,,Unknown,www.sls.com.au,
,,,Misc WA Clubs,,,Surf Life Saving Western Australia,,WA,,
4 Flinders Parade,Middleton Beach,perdigough@hotmail.com,Albany SLSC,,(08) 98413327,Misc WA Clubs,6330,WA,www.albanysurfclub.com.au,
Lot 3001 Coronation Drive,Binningup Beach,binningupslsc@hotmail.com,Binningup SLSC,,,Misc WA Clubs,6233,WA,,
Cable Beach Road,Cable Beach,broomeslsc@westnet.com.au,Broome,,,Misc WA Clubs,6726,WA,www.broomeslsc.com,
,Busselton Beach,bnslsc@mybeach.com.au,Busselton SLSC,,,Misc WA Clubs,6280,WA,,
Foreshore Drive,Champion-St George  Beach,admin@champions.org.au,Champion Bay SLSC,,0428 382 285,Misc WA Clubs,6530,WA,http://www.champions.org.au/,
Ocean Drive,Bunbury Beach,surfclub@bunburyslsc.com.au,City of Bunbury SLSC,,08 9721 3633,Misc WA Clubs,6230,WA,www.bunburyslsc.com.au,
181- 183 Challenger Parade,City Beach,admin@citysurf.asn.au,City of Perth SLSC,,0893859232,Misc WA Clubs,6015,WA,www.citysurf.asn.au,
20 Poore Grove,Coogee Beach,admin@coogeebeachslsc.com.au,Coogee Beach SLSC Inc (WA),,08 9494 1433,Misc WA Clubs,6166,WA,www.coogeebeachslsc.com.au,
87 Marine Parade,Cottesloe Beach,admin@cottsurf.com,Cottesloe SLSC,0893854963,0893834400,Misc WA Clubs,6011,WA,www.cottsurf.com.au,
Beach End Dalyellup BLVD,Dalyellup,dpslsc@mybeach.com.au,Dalyellup Beach SLSC Inc,,,Misc WA Clubs,6230,WA,http://www.dalyellupslsc.com.au/,
Ocean Beach Road,Ocean Beach,denmarksurf@westnet.com.au,Denmark SLSC,,0898482346,Misc WA Clubs,6333,WA,www.denmarksurf.com.au,
Whitetops Road,Dongara,rod@edwardspartners.com.au,Dongara Denison SLSC,,,Misc WA Clubs,6525,WA,,
Loc 2102 Twilight Beach Rd,Fourth-Surfers-Twilight Beach,egslsc@gmail.com,Esperance-Goldfields SLSC,,0890720087,Misc WA Clubs,6450,WA,,
Challenger Parade,Floreat-Scarborough-Trigg,admin@floreatslsc.com,Floreat SLSC Inc.,08 9385 9370,08 9385 9370,Misc WA Clubs,6014,WA,http://floreatslsc.com,
20 Leighton Beach Boulevard,Leighton Beach,fmslsc@fremantlesurfclub.com.au,Fremantle SLSC,,0893354359,Misc WA Clubs,6159,WA,fremantlesurfclub.com.au,
260 Wilcock Drive,Tarcoola-Back Beach (Mahomets),surfclub@geraldtonslsc.com,Geraldton Surf Life Saving Club,0899213403,0899213403,Misc WA Clubs,6530,WA,www.geraldtonslsc.com,
40 Orestes St,San Remo,mhslsc@mybeach.com.au,Mandurah SLSC,,08 95834551,Misc WA Clubs,6210,WA,www.mandurahslsc.asn.au,
,Margaret River mouth,mrslsc@mybeach.com.au,Margaret River SLSC,,,Misc WA Clubs,,WA,,
11 Oceanside Promenade,Whitfords-Mullaloo Beach,info@mullaloosurf.com.au,Mullaloo SLSC,,08 9307 7766,Misc WA Clubs,6027,WA,www.mullaloosurf.com.au,
151 Marine Parade,Cottesloe,office@ncslsc.com,North Cottesloe SLSC,,08 9284 2626,Misc WA Clubs,6011,WA,www.ncslsc.com,
Pyramids Beach,Pyramids,admin@portbouvardslsc.com.au,Port Bouvard SLSC,,08 9582 8727,Misc WA Clubs,6211,WA,www.portbouvardslsc.com.au,
Boat Beach Rd,,portwalcottsls@gmail.com,Port Walcott Surf Lifesaving Club,,,Misc WA Clubs,6720,WA,,
Cnr Ocean Drive and Quinns Road,Quinns Rocks,quinnsmindarie@bigpond.com,Quinns Mindarie SLSC,0893051874,0893051870,Misc WA Clubs,6030,WA,www.quinnssurfclub.com,
The Esplanade,Floreat-Scarborough-Trigg,enquiries@scarboro.com.au,Scarboro SLSC Inc,08 9341 3854,08 9341 1011,Misc WA Clubs,6019,WA,www.scarboro.com.au,
Palermo Cove,Secret Harbour,members@secretharbourslsc.com,Secret Harbour SLSC,08 9524 8344,08 9524 7092,Misc WA Clubs,6173,WA,www.secretharbourslsc.com,
Smiths Beach Road,Smiths Beach,admin@sbslsc.com.au,Smiths Beach SLSC,,,Misc WA Clubs,6282,WA,www.sbslsc.com.au,
189 West Coast Drive,Sorrento Beach,admin@sorrentoslsc.org.au,Sorrento SLSC (Inc) (WA),,08 9448 1431,Misc WA Clubs,6020,WA,www.soslsc.com,
282 Marine Parade,Swanbourne,administrator@swannysurfclub.org.au,Swanbourne Nedlands SLSC Inc,0893840020,0893840020,Misc WA Clubs,6010,WA,http://www.swannysurfclub.org.au,
360-362 West Coast Drive,Trigg Island,tislsc@triggisland.com,Trigg Island SLSC,0894477633,0894473556,Misc WA Clubs,6029,WA,www.triggisland.com,
,Yanchep,yanchepsurflifesaving@gmail.com,Yanchep SLSC,,(00) 00000000,Misc WA Clubs,,WA,www.yanchepsurflifesaving.com.au,
,,,Mornington District,,,Life Saving Victoria,,Unknown,,
250 Point Nepean Road,Dromana,dblsc@optusnet.com.au,Dromana Bay LSC,,035981 4982,Mornington District,3936,VIC,www.dromanabay.org,
1 Long Island Drive,Frankston,president@frankstonlsc.com.au,Frankston LSC,,03 9783 9730,Mornington District,3199,VIC,www.frankstonlsc.com.au,
1a Mills Beach,Mills Beach,admin@morningtonlsc.com,Mornington LSC,,03 5975 8296,Mornington District,3931,VIC,www.morningtonlsc.com,
The Esplanade,Mount Martha Point,mmlsc@bigpond.net.au,Mount Martha LSC,,03 5974 4140,Mornington District,3934,VIC,www.mmlsc.com,
Point Nepean Road,Rosebud,baker7@bigpond.net.au,Rosebud and McCrae LSC,,03 5986 1492,Mornington District,3938,VIC,,
Nepean Highway (Opp. Station Street),Seaford,secretary@seafordlsc.com.au,Seaford LSC,039562 9009,03 9786 2828,Mornington District,3198,VIC,www.seafordlsc.com.au,
5 Marlow Street,,nbbslsq@lifesaving.com.au,North Barrier Branch,07 4774 1144,07 47662200,Surf Life Saving Queensland,4810,QLD,www.nbbsurflifesaving.com.au,
The Rockpool - The Strand,Alma Bay,arcadian@bigpond.net.au,Arcadian SLSC,07 4721 5366,07 4721 5855,North Barrier Branch,4810,QLD,http://www.arcadiansurfclub.com.au,
Sandown Street- Alva Beach,Alva Beach,ayrslsc@exemail.com.au,Ayr SLSC,,07 4783 5638,North Barrier Branch,4807,QLD,ayrsurfclub.com.au,
The Esplanade- Queens Beach,Queens Beach,bowenslsc@westnet.com.au,Bowen SLSC,,07 4785 0200,North Barrier Branch,4805,QLD,,
Eimeo Esplanade,Eimeo,eimeoslsclub@bigpond.com,Eimeo SLSC,07 49696680,07 49696680,North Barrier Branch,4740,QLD,www.eimeoslsc.com.au,
9 Palm Street,Forrest Beach,cmcantoni@bigpond.com,Forrest Beach SLSC,,07 4777 8966,North Barrier Branch,4850,QLD,http://www.fbslsc.org,
East Point Road- Mackay Harbour Beach,Mackay,mackayslsc@bigpond.com,Mackay SLSC,,07 4955 5630,North Barrier Branch,4740,QLD,www.mackayslsc.com.au,
1 Beach Road,Sarina,lifesaving@sarinasurfclub.com.au,Sarina SLSC,,07 49566476,North Barrier Branch,4737,QLD,www.sarinasurfclub.com.au,
The Strand,Picnic Bay,admin@tpbslsc.com.au,Townsville Picnic Bay SLSC,07 4724 5764,07 4724 4211,North Barrier Branch,4810,QLD,,
45 Fourth Avenue,,presidentslsnc@bigpond.com,North Coast Branch,,02 66531700,Surf Life Saving New South Wales,2452,NSW,www.slsnorthcoast.com,
George Street,North Beach/South Bogangar,bvnbslsc@bigpond.com,Bellinger Valley-North Beach SLSC,,02 6655 4449,North Coast Branch,2454,NSW,,
